"Plan_Fahrt_Id";"SITZPLAETZE";"KAP_1m2";"KAP_2m2";"KAP_3m2";"KAP_4m2"
560;90;122.7;155.4;188.1;220.8
561;90;122.7;155.4;188.1;220.8
563;90;122.7;155.4;188.1;220.8
564;90;122.7;155.4;188.1;220.8
566;90;122.7;155.4;188.1;220.8
567;90;122.7;155.4;188.1;220.8
569;90;122.7;155.4;188.1;220.8
570;90;122.7;155.4;188.1;220.8
572;90;122.7;155.4;188.1;220.8
573;90;122.7;155.4;188.1;220.8
575;90;122.7;155.4;188.1;220.8
576;90;122.7;155.4;188.1;220.8
578;90;122.7;155.4;188.1;220.8
579;90;122.7;155.4;188.1;220.8
581;90;122.7;155.4;188.1;220.8
582;90;122.7;155.4;188.1;220.8
584;90;122.7;155.4;188.1;220.8
585;90;122.7;155.4;188.1;220.8
587;90;122.7;155.4;188.1;220.8
588;90;122.7;155.4;188.1;220.8
590;90;122.7;155.4;188.1;220.8
594;;;;;1
595;;;;;1
596;;;;;1
597;;;;;1
598;;;;;1
599;;;;;1
600;;;;;1
601;;;;;1
602;;;;;1
603;;;;;1
604;;;;;1
605;;;;;1
606;;;;;1
607;;;;;1
608;;;;;1
609;;;;;1
610;;;;;1
611;;;;;1
612;;;;;1
613;;;;;1
614;;;;;1
615;;;;;1
616;;;;;1
617;;;;;1
618;;;;;1
619;;;;;1
624;;;;;1
625;;;;;1
626;;;;;1
627;;;;;1
628;;;;;1
629;;;;;1
630;;;;;1
634;26;39.5;53;66.5;80
635;26;39.5;53;66.5;80
636;26;39.5;53;66.5;80
637;26;39.5;53;66.5;80
638;26;39.5;53;66.5;80
639;26;39.5;53;66.5;80
640;26;39.5;53;66.5;80
641;26;39.5;53;66.5;80
642;26;39.5;53;66.5;80
643;26;39.5;53;66.5;80
644;26;39.5;53;66.5;80
645;26;39.5;53;66.5;80
646;26;39.5;53;66.5;80
647;26;39.5;53;66.5;80
648;26;39.5;53;66.5;80
649;26;39.5;53;66.5;80
650;26;39.5;53;66.5;80
651;26;39.5;53;66.5;80
652;26;39.5;53;66.5;80
653;26;39.5;53;66.5;80
654;26;39.5;53;66.5;80
655;26;39.5;53;66.5;80
656;26;39.5;53;66.5;80
657;26;39.5;53;66.5;80
658;26;39.5;53;66.5;80
659;26;39.5;53;66.5;80
660;26;39.5;53;66.5;80
661;26;39.5;53;66.5;80
662;26;39.5;53;66.5;80
663;26;39.5;53;66.5;80
664;26;39.5;53;66.5;80
665;26;39.5;53;66.5;80
666;26;39.5;53;66.5;80
667;26;39.5;53;66.5;80
668;26;39.5;53;66.5;80
669;26;39.5;53;66.5;80
670;26;39.5;53;66.5;80
671;26;39.5;53;66.5;80
672;26;39.5;53;66.5;80
673;26;39.5;53;66.5;80
674;26;39.5;53;66.5;80
675;26;39.5;53;66.5;80
676;26;39.5;53;66.5;80
677;26;39.5;53;66.5;80
678;26;39.5;53;66.5;80
679;26;39.5;53;66.5;80
680;26;39.5;53;66.5;80
681;26;39.5;53;66.5;80
682;26;39.5;53;66.5;80
683;26;39.5;53;66.5;80
684;26;39.5;53;66.5;80
685;26;39.5;53;66.5;80
686;26;39.5;53;66.5;80
687;26;39.5;53;66.5;80
688;26;39.5;53;66.5;80
689;26;39.5;53;66.5;80
690;26;39.5;53;66.5;80
691;26;39.5;53;66.5;80
692;26;39.5;53;66.5;80
693;26;39.5;53;66.5;80
694;26;39.5;53;66.5;80
695;26;39.5;53;66.5;80
696;26;39.5;53;66.5;80
697;26;39.5;53;66.5;80
698;26;39.5;53;66.5;80
699;26;39.5;53;66.5;80
700;26;39.5;53;66.5;80
701;26;39.5;53;66.5;80
702;26;39.5;53;66.5;80
703;26;39.5;53;66.5;80
704;26;39.5;53;66.5;80
705;26;39.5;53;66.5;80
706;26;39.5;53;66.5;80
707;26;39.5;53;66.5;80
708;26;39.5;53;66.5;80
709;26;39.5;53;66.5;80
710;26;39.5;53;66.5;80
711;26;39.5;53;66.5;80
712;26;39.5;53;66.5;80
713;26;39.5;53;66.5;80
714;26;39.5;53;66.5;80
715;26;39.5;53;66.5;80
716;26;39.5;53;66.5;80
717;26;39.5;53;66.5;80
718;26;39.5;53;66.5;80
719;26;39.5;53;66.5;80
720;26;39.5;53;66.5;80
721;26;39.5;53;66.5;80
722;26;39.5;53;66.5;80
723;26;39.5;53;66.5;80
724;26;39.5;53;66.5;80
725;26;39.5;53;66.5;80
726;26;39.5;53;66.5;80
727;26;39.5;53;66.5;80
728;26;39.5;53;66.5;80
729;26;39.5;53;66.5;80
730;26;39.5;53;66.5;80
731;26;39.5;53;66.5;80
732;26;39.5;53;66.5;80
733;26;39.5;53;66.5;80
734;26;39.5;53;66.5;80
735;26;39.5;53;66.5;80
736;26;39.5;53;66.5;80
737;26;39.5;53;66.5;80
738;26;39.5;53;66.5;80
739;26;39.5;53;66.5;80
740;26;39.5;53;66.5;80
741;26;39.5;53;66.5;80
742;26;39.5;53;66.5;80
743;26;39.5;53;66.5;80
744;26;39.5;53;66.5;80
745;26;39.5;53;66.5;80
746;26;39.5;53;66.5;80
747;26;39.5;53;66.5;80
748;26;39.5;53;66.5;80
749;26;39.5;53;66.5;80
750;26;39.5;53;66.5;80
753;48;62.37;76.74;91.11;105.48
755;48;62.37;76.74;91.11;105.48
756;48;62.37;76.74;91.11;105.48
757;48;62.37;76.74;91.11;105.48
758;48;62.37;76.74;91.11;105.48
762;32;40.25;48.5;56.75;65
763;32;40.25;48.5;56.75;65
764;32;40.25;48.5;56.75;65
765;32;40.25;48.5;56.75;65
766;32;40.25;48.5;56.75;65
767;32;40.25;48.5;56.75;65
770;48;62.37;76.74;91.11;105.48
772;48;62.37;76.74;91.11;105.48
773;48;62.37;76.74;91.11;105.48
774;48;62.37;76.74;91.11;105.48
775;48;62.37;76.74;91.11;105.48
777;48;62.37;76.74;91.11;105.48
778;48;62.37;76.74;91.11;105.48
781;32;40.25;48.5;56.75;65
782;32;40.25;48.5;56.75;65
783;32;40.25;48.5;56.75;65
784;32;40.25;48.5;56.75;65
785;32;40.25;48.5;56.75;65
786;32;40.25;48.5;56.75;65
787;32;40.25;48.5;56.75;65
788;32;40.25;48.5;56.75;65
789;32;40.25;48.5;56.75;65
790;32;40.25;48.5;56.75;65
791;32;40.25;48.5;56.75;65
792;32;40.25;48.5;56.75;65
793;32;40.25;48.5;56.75;65
794;32;40.25;48.5;56.75;65
795;32;40.25;48.5;56.75;65
796;32;40.25;48.5;56.75;65
797;32;40.25;48.5;56.75;65
798;32;40.25;48.5;56.75;65
799;32;40.25;48.5;56.75;65
800;32;40.25;48.5;56.75;65
801;32;40.25;48.5;56.75;65
802;32;40.25;48.5;56.75;65
803;32;40.25;48.5;56.75;65
804;32;40.25;48.5;56.75;65
805;32;40.25;48.5;56.75;65
806;32;40.25;48.5;56.75;65
807;32;40.25;48.5;56.75;65
808;32;40.25;48.5;56.75;65
809;32;40.25;48.5;56.75;65
810;32;40.25;48.5;56.75;65
811;32;40.25;48.5;56.75;65
812;32;40.25;48.5;56.75;65
813;32;40.25;48.5;56.75;65
814;32;40.25;48.5;56.75;65
815;32;40.25;48.5;56.75;65
816;32;40.25;48.5;56.75;65
817;32;40.25;48.5;56.75;65
818;32;40.25;48.5;56.75;65
819;32;40.25;48.5;56.75;65
820;32;40.25;48.5;56.75;65
821;32;40.25;48.5;56.75;65
822;32;40.25;48.5;56.75;65
823;32;40.25;48.5;56.75;65
824;32;40.25;48.5;56.75;65
825;32;40.25;48.5;56.75;65
826;32;40.25;48.5;56.75;65
827;32;40.25;48.5;56.75;65
828;32;40.25;48.5;56.75;65
829;32;40.25;48.5;56.75;65
830;32;40.25;48.5;56.75;65
831;32;40.25;48.5;56.75;65
832;32;40.25;48.5;56.75;65
833;32;40.25;48.5;56.75;65
834;32;40.25;48.5;56.75;65
835;32;40.25;48.5;56.75;65
836;32;40.25;48.5;56.75;65
837;32;40.25;48.5;56.75;65
838;32;40.25;48.5;56.75;65
839;32;40.25;48.5;56.75;65
840;32;40.25;48.5;56.75;65
841;32;40.25;48.5;56.75;65
842;32;40.25;48.5;56.75;65
843;32;40.25;48.5;56.75;65
844;32;40.25;48.5;56.75;65
845;32;40.25;48.5;56.75;65
846;32;40.25;48.5;56.75;65
847;32;40.25;48.5;56.75;65
848;32;40.25;48.5;56.75;65
849;32;40.25;48.5;56.75;65
850;32;40.25;48.5;56.75;65
851;32;40.25;48.5;56.75;65
852;32;40.25;48.5;56.75;65
853;32;40.25;48.5;56.75;65
854;32;40.25;48.5;56.75;65
855;32;40.25;48.5;56.75;65
856;32;40.25;48.5;56.75;65
857;32;40.25;48.5;56.75;65
858;32;40.25;48.5;56.75;65
859;32;40.25;48.5;56.75;65
860;32;40.25;48.5;56.75;65
861;32;40.25;48.5;56.75;65
862;32;40.25;48.5;56.75;65
863;32;40.25;48.5;56.75;65
864;32;40.25;48.5;56.75;65
865;32;40.25;48.5;56.75;65
866;32;40.25;48.5;56.75;65
867;32;40.25;48.5;56.75;65
868;32;40.25;48.5;56.75;65
869;32;40.25;48.5;56.75;65
870;32;40.25;48.5;56.75;65
871;32;40.25;48.5;56.75;65
872;32;40.25;48.5;56.75;65
873;32;40.25;48.5;56.75;65
874;32;40.25;48.5;56.75;65
875;32;40.25;48.5;56.75;65
876;32;40.25;48.5;56.75;65
877;32;40.25;48.5;56.75;65
